Scheme_ID,Target_Age_Group,Target_Gender,Caste_Eligibility,Income_Criteria
SCM1000,18-25,All,ST,Below 2L
SCM1001,41-60,Female,SC,No Limit
SCM1002,41-60,All,ST,Above 5L
,60+,All,OBC,No Limit
SCM1004,26-40,Female,All,Below 2L
SCM1005,60+,All,All,Above 5L
SCM1006,18-25,Male,General,2L-5L
SCM1007,18-25,Male,All,Above 5L
SCM1008,41-60,All,SC,No Limit
SCM1009,60+,Male,OBC,No Limit
,41-60,All,All,Above 5L
SCM1011,60+,All,ST,2L-5L
SCM1012,41-60,Male,SC,2L-5L
SCM1013,60+,Male,OBC,Below 2L
SCM1014,18-25,Female,All,No Limit
SCM1015,26-40,Male,General,Below 2L
SCM1016,26-40,Male,OBC,No Limit
SCM1017,41-60,All,OBC,No Limit
SCM1018,26-40,Male,OBC,No Limit
SCM1019,41-60,All,All,2L-5L
SCM1020,26-40,Female,General,Above 5L
SCM1021,60+,All,General,Above 5L
SCM1022,60+,Male,General,Above 5L
SCM1023,41-60,Female,OBC,No Limit
SCM1024,60+,Male,SC,No Limit
SCM1025,41-60,Female,All,No Limit
SCM1026,18-25,Male,General,Above 5L
SCM1027,18-25,Male,All,No Limit
SCM1028,60+,Female,OBC,Above 5L
SCM1029,60+,All,ST,Below 2L
SCM1030,60+,All,ST,No Limit
SCM1031,60+,All,General,2L-5L
SCM1032,60+,Male,General,Above 5L
SCM1033,60+,Male,All,No Limit
SCM1034,18-25,Male,ST,No Limit
SCM1035,41-60,All,General,2L-5L
,18-25,Male,SC,No Limit
,41-60,Male,OBC,2L-5L
SCM1038,41-60,Male,OBC,2L-5L
SCM1039,18-25,All,All,2L-5L
SCM1040,18-25,Male,OBC,Below 2L
SCM1041,26-40,Female,General,Above 5L
SCM1042,41-60,Female,ST,No Limit
SCM1043,60+,All,SC,Above 5L
SCM1044,41-60,Female,ST,No Limit
SCM1045,26-40,Male,OBC,Above 5L
SCM1046,26-40,Male,General,Below 2L
SCM1047,41-60,All,ST,Below 2L
SCM1048,26-40,Female,SC,2L-5L
SCM1049,41-60,All,General,Above 5L
