Scheme_ID,Budget_Crore,Allocated_Funds,Beneficiaries_Lakhs,Corruption_Cases,Fraud_Cases,Income_Criteria
SCM1000,6137,89590,66.62,17,5,Below 2L
SCM1001,42160,2397,87.76,23,6,No Limit
SCM1002,27461,84734,399.71,25,6,Above 5L
,14566,35098,239.15,30,12,No Limit
SCM1004,33864,97272,72.68,13,2,Below 2L
SCM1005,30683,44169,343.43,24,15,Above 5L
SCM1006,9727,62291,470.35,31,10,2L-5L
SCM1007,21693,21529,286.27,Unknown,19,Above 5L
SCM1008,20184,62797,49.44,40,7,No Limit
SCM1009,232490,48552,27.47,13,18,No Limit
,37852,48552,397.96,47,13,Above 5L
SCM1011,16837,99447,313.08,47,,2L-5L
SCM1012,2418,91013,461.34,26,0,2L-5L
SCM1013,46571,54164,273.67,21,18,Below 2L
SCM1014,45587,38993,31.29,37,1,No Limit
SCM1015,25414,52318,201.9,6,18,Below 2L
SCM1016,35387,42546,329.03,32,6,No Limit
SCM1017,30551,74074,192.5,42,9,No Limit
SCM1018,5527,39884,499.8,40,5,No Limit
SCM1019,37471,55629,202.75,32,14,2L-5L
SCM1020,24730,40466,273.16,23,16,Above 5L
SCM1021,33767,90819,112.77,25,0,Above 5L
SCM1022,26778,59575,,49,6,Above 5L
SCM1023,25199,47616,322.69,41,8,No Limit
SCM1024,31734,21292,294.35,30,8,No Limit
SCM1025,16946,67201,2.27,26,18,No Limit
SCM1026,17985,71090,142.46,12,16,Above 5L
SCM1027,12168,8124,321.83,30,,No Limit
SCM1028,17199,82641,406.14,31,13,Above 5L
SCM1029,38198,24691,156.25,22,6,Below 2L
SCM1030,27973,26492,323.75,36,16,No Limit
SCM1031,23658,72346,132.7,39,10,2L-5L
SCM1032,30618,22522,345.22,44,19,Above 5L
SCM1033,9280,2092,349,15,3,No Limit
SCM1034,16695,63454,65.2,38,5,No Limit
SCM1035,23840,72746,332.58,7,5,2L-5L
,27822,69062,166.85,17,8,No Limit
,48341,14298,86.38,26,11,2L-5L
SCM1038,3850,21443,,8,2,2L-5L
SCM1039,11981,5736,226.2,27,8,2L-5L
SCM1040,19706,42883,386.96,21,12,Below 2L
SCM1041,16919,89378,42.35,10,2,Above 5L
SCM1042,26577,31061,394.9,21,9,No Limit
SCM1043,28855,36018,53.13,48,9,Above 5L
SCM1044,25911,68816,103.81,13,5,No Limit
SCM1045,37797,80467,257.99,22,5,Above 5L
SCM1046,47664,30740,231.64,1,15,Below 2L
SCM1047,18444,34440,494.43,14,14,Below 2L
SCM1048,20756,96210,,49,14,2L-5L
SCM1049,26482,59536,163.79,4,2,Above 5L
SCM1050,31131,17923,450.08,28,1,No Limit
SCM1051,5913,20384,156.18,32,,Above 5L
SCM1052,1824,93642,136.96,47,18,No Limit
SCM1053,1594,22616,247.24,43,1,No Limit
SCM1054,18463,82451,456.6,29,19,2L-5L
SCM1055,21912,77275,354.29,45,2,No Limit
SCM1056,20537,60062,338.77,16,0,Above 5L
SCM1057,41305,95121,363.07,0,16,Below 2L
SCM1058,30624,30333,329.85,13,1,Above 5L
SCM1059,7260,22786,379.92,46,7,2L-5L
SCM1060,41443,3176,96.46,43,15,No Limit
SCM1061,23693,42797,,16,1,2L-5L
SCM1062,384,3145,181.15,8,18,2L-5L
SCM1063,48183,7178,425.49,34,0,2L-5L
SCM1064,37951,38165,357.26,30,6,2L-5L
SCM1065,20478,37209,283.28,11,0,Above 5L
SCM1066,8591,93887,9.82,44,4,Below 2L
SCM1067,1000,63903,117.98,1,17,Above 5L
SCM1068,1559,88386,401.78,14,5,Above 5L
SCM1069,13780,10303,121.32,33,2,No Limit
SCM1070,19405,75350,365.17,36,17,No Limit
SCM1071,35401,86964,92.4,40,2,2L-5L
SCM1072,32792,16095,303.22,29,15,Below 2L
SCM1073,39447,3325,314.14,13,14,Above 5L
SCM1074,17289,31085,376.01,44,1,2L-5L
SCM1075,7695,91180,219.23,3,2,Below 2L
SCM1076,18712,13469,316.37,7,4,No Limit
SCM1077,2021,79399,243.54,22,7,Below 2L
SCM1078,37840,89202,473.67,6,8,Above 5L
SCM1079,2487,29234,260.99,16,10,No Limit
SCM1080,10830,30850,104.88,21,13,Below 2L
SCM1081,14930,17561,333.98,37,,Above 5L
SCM1082,34864,65763,274.28,25,17,No Limit
SCM1083,4925,35643,401.93,7,17,Above 5L
,5382,94539,88.54,21,16,2L-5L
SCM1085,13969,78454,130.54,39,8,2L-5L
SCM1086,15551,40204,460.82,44,,Below 2L
SCM1087,32972,87748,465.02,21,17,Above 5L
SCM1088,41498,58610,221.18,39,15,Below 2L
SCM1089,18005,6662,23.97,4,17,2L-5L
SCM1090,34219,25168,153.35,8,0,Below 2L
SCM1091,2798,8881,123.64,19,10,Below 2L
SCM1092,20096,19184,207.4,21,6,2L-5L
SCM1093,16992,88006,158.97,33,9,2L-5L
SCM1094,48168,23768,414.51,34,8,Below 2L
SCM1095,38178,18558,1.62,35,6,Above 5L
