Scheme_ID,Feedback_Rating,Approval_Rate,Implementation_Score,Success_Rate,Application_Mode,Required_Documents,Scheme_Objective
SCM1000,4,51.65,5.6,76.46,Online,"Caste Certificate, Income Certificate",Technology adoption
SCM1001,2,80.34,8.65,90.53,Online,"Ration Card, Aadhaar",Housing for all
SCM1002,1,52.51,1.79,-10,Both,None,Sanitation awareness
,3,50.42,3.19,74.84,Online,"Caste Certificate, Income Certificate",Sanitation awareness
SCM1004,2,94.59,5.9,79.01,Offline,"Aadhaar, Income Certificate",Technology adoption
SCM1005,1,95.55,3.92,43.32,Online,"Ration Card, Aadhaar",Education access
SCM1006,1,64.5,9.93,,Offline,"Caste Certificate, Income Certificate",Women empowerment
SCM1007,1,93.25,5.07,96.1,Both,"Caste Certificate, Income Certificate",Women empowerment
SCM1008,1,53.75,9.2,92.86,Both,None,Startup support
SCM1009,3,70.58,9.47,47.15,Online,"Aadhaar, PAN, Bank Passbook",Employment generation
,1,73.82,3.33,52.68,Both,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM1011,3,70.43,3.94,64.97,Offline,"Caste Certificate, Income Certificate",Sanitation awareness
SCM1012,3,67.42,3.92,41.09,Both,"Caste Certificate, Income Certificate",Startup support
SCM1013,4,80.57,4.93,96.78,Both,"Aadhaar, PAN, Bank Passbook",Women empowerment
SCM1014,3,83.81,1.57,41.31,Offline,"Caste Certificate, Income Certificate",Technology adoption
SCM1015,4,97.92,8.27,83.3,Offline,"Ration Card, Aadhaar",Employment generation
SCM1016,3,56.33,2.18,53.9,Both,"Ration Card, Aadhaar",Education access
SCM1017,2,95.02,9.04,70.16,Both,"Caste Certificate, Income Certificate",Education access
SCM1018,3,89.87,6.19,33.3,Both,"Aadhaar, Income Certificate",Skill development
SCM1019,3,64.14,5.33,44.35,Offline,"Ration Card, Aadhaar",Skill development
SCM1020,4,60.01,6.95,61.11,Both,"Aadhaar, Income Certificate",Technology adoption
SCM1021,3,55.82,9.4,77.4,Both,"Aadhaar, PAN, Bank Passbook",Financial inclusion
SCM1022,1,71.19,3.67,84.43,Both,"Aadhaar, PAN, Bank Passbook",Housing for all
SCM1023,4,77.51,3.43,32.11,Online,"Caste Certificate, Income Certificate",Housing for all
SCM1024,2,78.49,4.33,40.67,Online,None,Startup support
SCM1025,4,70.84,5.38,81.09,Both,None,Startup support
SCM1026,3,84.27,1.68,86.91,Both,"Aadhaar, Income Certificate",Skill development
SCM1027,3,85.39,7.12,46.56,Offline,"Aadhaar, PAN, Bank Passbook",Skill development
SCM1028,2,75.75,5.69,46.08,Offline,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM1029,3,77.58,5.86,,Online,"Aadhaar, Income Certificate",Health insurance coverage
SCM1030,1,59.74,3.25,40.52,Online,"Aadhaar, Income Certificate",Education access
SCM1031,1,77.7,8.57,,Online,"Ration Card, Aadhaar",Technology adoption
SCM1032,4,53.76,4.58,71.29,Online,"Aadhaar, Income Certificate",Financial inclusion
SCM1033,3,78.53,6.87,,Offline,"Aadhaar, Income Certificate",Financial inclusion
SCM1034,1,82.14,3.16,40.47,Online,"Caste Certificate, Income Certificate",Sanitation awareness
SCM1035,2,99.09,8.35,82.6,Offline,"Caste Certificate, Income Certificate",Health insurance coverage
,4,71.25,3.7,70.16,Both,"Ration Card, Aadhaar",Sanitation awareness
,2,74.79,9.3,95.79,Online,None,Startup support
SCM1038,3,72.61,5.09,85.87,Both,"Ration Card, Aadhaar",Health insurance coverage
SCM1039,1,62.99,2.31,89.69,Online,"Ration Card, Aadhaar",Women empowerment
SCM1040,4,54.72,6.5,74.74,Offline,"Caste Certificate, Income Certificate",Health insurance coverage
SCM1041,1,82.03,6.01,86.79,Both,"Caste Certificate, Income Certificate",Skill development
SCM1042,3,53.61,4.79,54.56,Online,"Aadhaar, PAN, Bank Passbook",Skill development
SCM1043,2,71.5,8.38,44.63,Online,"Caste Certificate, Income Certificate",Skill development
SCM1044,3,50.55,4.79,93.88,Offline,"Aadhaar, Income Certificate",Employment generation
SCM1045,3,97.03,2.23,81.4,Offline,"Caste Certificate, Income Certificate",Skill development
SCM1046,3,84.87,1.26,36.35,Offline,"Aadhaar, Income Certificate",Employment generation
SCM1047,1,61.16,9.03,90.68,Online,"Aadhaar, PAN, Bank Passbook",Skill development
SCM1048,2,63.81,5.2,54.42,Both,"Ration Card, Aadhaar",Financial inclusion
SCM1049,1,66.11,6.07,50.88,Online,"Aadhaar, Income Certificate",Skill development
SCM1050,1,75.95,2.03,73.63,Online,None,Health insurance coverage
SCM1051,4,81.59,5.4,69.8,Both,"Caste Certificate, Income Certificate",Education access
SCM1052,1,53.83,5.8,67.68,Online,"Ration Card, Aadhaar",Sanitation awareness
SCM1053,3,83.02,5.19,47.84,Offline,None,Skill development
SCM1054,1,53.72,9.59,,Online,"Aadhaar, Income Certificate",Technology adoption
SCM1055,2,95.69,6.14,96.51,Online,"Ration Card, Aadhaar",Technology adoption
SCM1056,3,74.87,9.77,30.29,Offline,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM1057,2,96.68,2.38,53.65,Offline,"Aadhaar, Income Certificate",Sanitation awareness
SCM1058,3,82.12,9.23,33.19,Both,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM1059,1,70.06,5.98,,Both,"Ration Card, Aadhaar",Financial inclusion
SCM1060,4,89.14,3.67,92.06,Both,"Ration Card, Aadhaar",Education access
SCM1061,4,53.4,7.71,66.28,Offline,"Caste Certificate, Income Certificate",Skill development
SCM1062,1,79.35,6.01,88.78,Online,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM1063,3,62.88,6.18,79.24,Online,"Aadhaar, Income Certificate",Health insurance coverage
SCM1064,2,92.14,2.55,64.97,Online,"Aadhaar, Income Certificate",Employment generation
SCM1065,3,94.53,7.12,55.47,Offline,"Aadhaar, Income Certificate",Sanitation awareness
SCM1066,2,79.27,3.65,48.64,Both,None,Startup support
SCM1067,1,63.04,4.2,48.16,Both,"Aadhaar, PAN, Bank Passbook",Education access
SCM1068,1,69.45,9.16,69.34,Both,"Aadhaar, Income Certificate",Women empowerment
SCM1069,1,81.02,2.62,41.68,Offline,"Aadhaar, Income Certificate",Housing for all
SCM1070,4,71.26,8.98,42.24,Both,"Aadhaar, PAN, Bank Passbook",Skill development
SCM1071,3,88.85,5.5,30.73,Both,"Aadhaar, Income Certificate",Housing for all
SCM1072,1,68.45,2.61,72.93,Both,"Ration Card, Aadhaar",Financial inclusion
SCM1073,4,75.27,8.3,99.6,Offline,"Aadhaar, Income Certificate",Startup support
SCM1074,4,59.45,6.87,92.25,Offline,"Ration Card, Aadhaar",Financial inclusion
SCM1075,1,84.89,4.12,79.4,Offline,None,Sanitation awareness
SCM1076,1,93.26,3.71,84.99,Both,"Ration Card, Aadhaar",Technology adoption
SCM1077,2,68.33,4.79,59.18,Offline,"Aadhaar, PAN, Bank Passbook",Skill development
SCM1078,1,97.74,2.23,50.87,Offline,"Caste Certificate, Income Certificate",Startup support
SCM1079,2,51.92,8.28,55.8,Online,"Aadhaar, PAN, Bank Passbook",Skill development
SCM1080,4,61.02,3.51,35.7,Both,None,Education access
SCM1081,4,70.62,8.44,74.37,Online,"Ration Card, Aadhaar",Startup support
SCM1082,1,71.22,7.58,42.24,Both,"Aadhaar, PAN, Bank Passbook",Skill development
SCM1083,4,89.67,9.48,83.4,Offline,"Aadhaar, PAN, Bank Passbook",Startup support
,1,94.36,1.89,43.3,Offline,"Ration Card, Aadhaar",Health insurance coverage
SCM1085,2,65.15,4.14,45.97,Both,"Ration Card, Aadhaar",Technology adoption
SCM1086,4,81.94,6.61,97.01,Both,"Aadhaar, Income Certificate",Employment generation
SCM1087,2,77.58,8.73,37.38,Online,"Aadhaar, Income Certificate",Education access
SCM1088,4,58.88,2.4,64.92,Online,"Caste Certificate, Income Certificate",Financial inclusion
SCM1089,1,66.3,8.75,34.39,Online,None,Sanitation awareness
SCM1090,3,50.99,1.6,36.33,Both,"Aadhaar, PAN, Bank Passbook",Sanitation awareness
SCM1091,4,65.19,5.27,74.35,Offline,None,Financial inclusion
SCM1092,2,55.27,1.76,74.15,Both,None,Health insurance coverage
SCM1093,3,94.92,2.35,43.52,Offline,None,Financial inclusion
SCM1094,2,94.95,7.97,91.07,Offline,"Aadhaar, PAN, Bank Passbook",Skill development
SCM1095,2,84.01,1.17,79.15,Online,"Aadhaar, Income Certificate",Housing for all
SCM1096,1,99.64,6,51.04,Online,None,Education access
SCM1097,4,78.99,1.88,47.39,Online,"Ration Card, Aadhaar",Employment generation
SCM1098,3,60.02,8.3,82.8,Both,"Aadhaar, Income Certificate",Housing for all
SCM1099,3,94.23,8.27,81.35,Online,"Aadhaar, Income Certificate",Health insurance coverage
SCM1100,1,60.42,7.33,40.42,Online,"Aadhaar, Income Certificate",Sanitation awareness
SCM1101,1,63.35,7.8,54.44,Offline,None,Housing for all
SCM1102,4,82.94,6.32,45.17,Both,"Caste Certificate, Income Certificate",Skill development
SCM1103,1,56.48,5.37,50.59,Offline,"Ration Card, Aadhaar",Startup support
SCM1104,2,80.49,4.69,50.13,Both,"Ration Card, Aadhaar",Technology adoption
SCM1105,3,65.14,6.95,98.32,Both,"Aadhaar, Income Certificate",Financial inclusion
SCM1106,1,81.3,4.45,82.51,Offline,"Aadhaar, Income Certificate",Education access
SCM1107,2,89.91,1.03,84.6,Both,"Caste Certificate, Income Certificate",Housing for all
SCM1108,2,69.71,1.91,49.42,Online,"Aadhaar, PAN, Bank Passbook",Employment generation
SCM1109,1,66.55,6.87,30.04,Both,"Caste Certificate, Income Certificate",Women empowerment
SCM1110,3,66.54,4.28,34.07,Online,None,Education access
SCM1111,1,67.88,9.91,68.71,Both,"Aadhaar, PAN, Bank Passbook",Financial inclusion
SCM1112,1,89.18,4.19,49.98,Online,"Caste Certificate, Income Certificate",Education access
SCM1113,2,71.53,1.98,43.51,Offline,"Caste Certificate, Income Certificate",Sanitation awareness
SCM1114,4,85.68,3.96,33.47,Both,"Aadhaar, Income Certificate",Sanitation awareness
SCM1115,3,86.99,7.18,91.31,Online,"Aadhaar, Income Certificate",Sanitation awareness
SCM1116,3,76.64,5.75,72.01,Both,"Caste Certificate, Income Certificate",Education access
SCM1117,1,72.77,6.49,37.52,Offline,None,Health insurance coverage
SCM1118,4,68.92,2,83.65,Offline,"Caste Certificate, Income Certificate",Health insurance coverage
SCM1119,3,82.75,8.44,82.91,Online,"Ration Card, Aadhaar",Technology adoption
SCM1120,2,75.72,9.12,50.26,Both,"Ration Card, Aadhaar",Sanitation awareness
SCM1121,2,64.59,2.31,43.19,Offline,"Caste Certificate, Income Certificate",Financial inclusion
SCM1122,4,76.64,6.64,86.98,Online,"Aadhaar, PAN, Bank Passbook",Education access
,4,82.9,3.07,53.07,Offline,"Ration Card, Aadhaar",Sanitation awareness
SCM1124,2,77.23,2.64,89.32,Both,"Aadhaar, PAN, Bank Passbook",Financial inclusion
SCM1125,1,50.75,2.84,33.06,Offline,"Aadhaar, PAN, Bank Passbook",Startup support
SCM1126,2,99.66,5.69,64.95,Both,None,Technology adoption
SCM1127,1,87.85,8.97,42.57,Online,"Caste Certificate, Income Certificate",Health insurance coverage
SCM1128,3,62.17,8.37,77.04,Offline,None,Employment generation
SCM1129,3,88.03,2.29,99.8,Online,None,Startup support
SCM1130,2,88.39,5.59,58.88,Both,None,Women empowerment
SCM1131,1,80.04,2.36,37.02,Offline,"Caste Certificate, Income Certificate",Housing for all
SCM1132,3,81.23,4.94,52.24,Offline,"Aadhaar, PAN, Bank Passbook",Women empowerment
SCM1133,2,58.06,6.06,92.41,Online,"Aadhaar, PAN, Bank Passbook",Women empowerment
SCM1134,2,68.61,8.3,,Online,"Aadhaar, PAN, Bank Passbook",Skill development
SCM1135,1,79.4,8.75,46.25,Offline,"Aadhaar, Income Certificate",Employment generation
SCM1136,3,53.88,1.25,96.75,Online,"Ration Card, Aadhaar",Skill development
SCM1137,2,98.9,7.2,73.55,Online,None,Health insurance coverage
SCM1138,3,55.09,4.69,41.76,Offline,"Aadhaar, PAN, Bank Passbook",Women empowerment
SCM1139,2,70.18,5.45,70.06,Offline,"Caste Certificate, Income Certificate",Sanitation awareness
SCM1140,4,95.68,3,61.59,Online,None,Skill development
SCM1141,4,50.76,1.31,87.38,Online,"Ration Card, Aadhaar",Employment generation
SCM1142,2,84.16,8.52,54.09,Offline,None,Education access
SCM1143,3,69.42,3.08,91.25,Both,"Caste Certificate, Income Certificate",Skill development
SCM1144,1,85.86,8.92,86.84,Both,"Aadhaar, Income Certificate",Employment generation
SCM1145,1,83.2,1.63,77.22,Online,"Aadhaar, Income Certificate",Education access
SCM1146,1,79.85,4.68,48.1,Online,"Aadhaar, PAN, Bank Passbook",Technology adoption
SCM1147,1,93.27,7.68,97.92,Both,"Aadhaar, Income Certificate",Employment generation
SCM1148,1,50.25,3.31,68.41,Offline,"Aadhaar, Income Certificate",Education access
SCM1149,1,57.3,9.71,93.53,Offline,"Aadhaar, PAN, Bank Passbook",Financial inclusion
,2,89.34,6.74,45.1,Online,"Aadhaar, Income Certificate",Health insurance coverage
SCM1151,4,81.75,2.96,98.84,Offline,"Ration Card, Aadhaar",Women empowerment
SCM1152,1,96.29,8.14,87.12,Online,"Aadhaar, Income Certificate",Health insurance coverage
SCM1153,3,71.95,9.86,96.45,Both,"Aadhaar, Income Certificate",Startup support
SCM1154,3,77.49,3.24,44.87,Both,"Aadhaar, Income Certificate",Technology adoption
SCM1155,3,81.21,8.4,60.15,Online,"Aadhaar, Income Certificate",Startup support
SCM1156,2,58.81,9.8,,Online,"Aadhaar, PAN, Bank Passbook",Employment generation
SCM1157,3,57.17,2.99,39.59,Online,"Aadhaar, Income Certificate",Employment generation
SCM1158,4,62.69,3.11,49.88,Both,"Caste Certificate, Income Certificate",Financial inclusion
SCM1159,4,69.29,7.45,96.61,Online,"Aadhaar, Income Certificate",Education access
,2,74.39,9.56,76.7,Online,"Aadhaar, Income Certificate",Sanitation awareness
SCM1161,1,73.22,7.26,52.02,Both,None,Technology adoption
,1,89.6,5.54,96.82,Both,None,Skill development
SCM1163,2,56.69,1.95,81.78,Offline,"Caste Certificate, Income Certificate",Employment generation
SCM1164,4,68.44,9.32,93.49,Online,"Caste Certificate, Income Certificate",Financial inclusion
SCM1165,4,97.3,1.62,94.91,Online,"Aadhaar, PAN, Bank Passbook",Sanitation awareness
,3,88.6,2.9,82.55,Offline,"Aadhaar, PAN, Bank Passbook",Housing for all
