Scheme_ID,Scheme_Name,Launch_Year,Sector,State_Coverage,Status,Scheme_Reach,Enrollment_Deadline
SCM1000,Digital India,2021,Technology,Maharashtra,Inactive,Local,30:21.0
SCM1001,Stand Up India,2006,Education,Madhya Pradesh,Merged,State-level,30:21.1
SCM1002,Smart Cities Mission,2024,,Tamil Nadu,Active,Local,30:21.0
,Beti Bachao Beti Padhao,1990,,Bihar,Active,Pan-India,30:21.0
SCM1004,Digital India,2018,Technology,Rajasthan,Inactive,State-level,30:21.0
SCM1005,Smart Cities Mission,1993,Housing,Tamil Nadu,Active,Pan-India,30:21.0
SCM1006,Smart Cities Mission,2012,Women Empowerment,Maharashtra,Inactive,Pan-India,30:21.0
SCM1007,Startup India,2017,Education,Bihar,Revamped,Local,30:21.0
SCM1008,Beti Bachao Beti Padhao,2005,Women Empowerment,Telangana,Revamped,Pan-India,30:21.1
SCM1009,Ayushman Bharat,2001,Education,Gujarat,Revamped,State-level,30:21.0
,Mahatma Gandhi National Rural Employment Guarantee Act,2010,Manufacturing,Gujarat,Merged,Local,30:21.0
SCM1011,Ujjwala Yojana,2006,Housing,Maharashtra,Inactive,State-level,30:21.1
SCM1012,Skill India,2002,Entrepreneurship,West Bengal,Inactive,Local,30:21.1
SCM1013,Mahatma Gandhi National Rural Employment Guarantee Act,2021,Employment,Tamil Nadu,Merged,Pan-India,30:21.1
SCM1014,Pradhan Mantri Awas Yojana,2004,Technology,Maharashtra,Merged,Local,30:21.1
SCM1015,Ujjwala Yojana,2001,Education,Rajasthan,Active,Local,30:21.0
SCM1016,Ujjwala Yojana,2004,Technology,Tamil Nadu,Active,Pan-India,30:21.1
SCM1017,National Health Mission,2023,Entrepreneurship,Karnataka,Revamped,Local,30:21.0
SCM1018,Jan Dhan Yojana,1995,Entrepreneurship,Uttar Pradesh,Merged,Local,30:21.1
SCM1019,AMRUT,2006,Housing,Madhya Pradesh,Merged,State-level,30:21.1
SCM1020,Stand Up India,2009,Technology,West Bengal,Merged,State-level,30:21.1
SCM1021,Stand Up India,1998,Employment,Telangana,Inactive,State-level,30:21.1
SCM1022,Ujjwala Yojana,1994,Manufacturing,Bihar,Active,State-level,30:21.1
SCM1023,Ayushman Bharat,2012,Entrepreneurship,West Bengal,Merged,State-level,30:21.0
SCM1024,Make in India,2022,Manufacturing,Telangana,Revamped,State-level,30:21.1
SCM1025,Digital India,2003,Employment,Maharashtra,Inactive,Pan-India,30:21.1
SCM1026,Swachh Bharat Abhiyan,2006,Employment,Telangana,Merged,Pan-India,30:21.1
SCM1027,Digital India,2008,Women Empowerment,West Bengal,Active,Pan-India,30:21.0
SCM1028,Sarva Shiksha Abhiyan,2022,Housing,West Bengal,Merged,Pan-India,30:21.1
SCM1029,Startup India,1990,Technology,Madhya Pradesh,Active,Local,30:21.1
SCM1030,PM Kisan Samman Nidhi,2002,Health,Gujarat,Active,Pan-India,30:21.0
SCM1031,Sarva Shiksha Abhiyan,2016,Technology,West Bengal,Active,Pan-India,30:21.1
SCM1032,Swachh Bharat Abhiyan,1995,Education,Madhya Pradesh,Revamped,Local,30:21.0
SCM1033,Mahatma Gandhi National Rural Employment Guarantee Act,1995,Housing,Maharashtra,Revamped,Pan-India,30:21.1
SCM1034,Stand Up India,2022,Technology,West Bengal,Active,Local,30:21.1
SCM1035,Digital India,2019,Manufacturing,Karnataka,Inactive,State-level,30:21.1
,Ujjwala Yojana,2024,Women Empowerment,West Bengal,Merged,Pan-India,30:21.1
,Beti Bachao Beti Padhao,2012,Technology,Karnataka,Inactive,State-level,30:21.0
SCM1038,Stand Up India,1999,Housing,Tamil Nadu,Inactive,Local,30:21.0
SCM1039,Ayushman Bharat,2008,Employment,Bihar,Merged,Pan-India,30:21.1
SCM1040,PM Kisan Samman Nidhi,2017,Women Empowerment,Uttar Pradesh,Revamped,Local,30:21.0
SCM1041,National Health Mission,2012,Entrepreneurship,Telangana,Inactive,State-level,30:21.0
SCM1042,Startup India,1993,Women Empowerment,Maharashtra,Inactive,Local,30:21.0
SCM1043,Sarva Shiksha Abhiyan,2009,Women Empowerment,Tamil Nadu,Merged,State-level,30:21.1
SCM1044,Beti Bachao Beti Padhao,2008,Education,Madhya Pradesh,Inactive,Local,30:21.0
SCM1045,Startup India,2016,,West Bengal,Inactive,Local,30:21.1
SCM1046,Mahatma Gandhi National Rural Employment Guarantee Act,2023,Health,Bihar,Revamped,Pan-India,30:21.0
SCM1047,Skill India,1993,Employment,Telangana,Inactive,Pan-India,30:21.0
SCM1048,Jan Dhan Yojana,1996,Education,Karnataka,Active,Pan-India,30:21.1
SCM1049,Startup India,1996,Women Empowerment,Bihar,Revamped,State-level,30:21.1
SCM1050,Sarva Shiksha Abhiyan,2015,Education,Maharashtra,Merged,State-level,30:21.0
SCM1051,Ujjwala Yojana,2015,Entrepreneurship,Uttar Pradesh,Merged,Pan-India,30:21.1
SCM1052,Mahatma Gandhi National Rural Employment Guarantee Act,2008,Manufacturing,Bihar,Merged,Pan-India,30:21.1
SCM1053,Jan Dhan Yojana,1998,Manufacturing,Bihar,Inactive,Local,30:21.1
SCM1054,Startup India,2009,Manufacturing,Telangana,Merged,Pan-India,30:21.0
SCM1055,PM Kisan Samman Nidhi,2005,Housing,West Bengal,Active,Pan-India,30:21.0
SCM1056,AMRUT,2006,,Telangana,Revamped,Pan-India,30:21.1
SCM1057,Stand Up India,2011,Manufacturing,Tamil Nadu,Active,State-level,Open
SCM1058,Beti Bachao Beti Padhao,2002,Housing,Bihar,Merged,Local,30:21.1
SCM1059,PM Kisan Samman Nidhi,2001,Women Empowerment,Telangana,Inactive,Pan-India,Open
SCM1060,Beti Bachao Beti Padhao,1999,Women Empowerment,Uttar Pradesh,Inactive,Local,30:21.1
SCM1061,AMRUT,1990,Women Empowerment,Karnataka,Merged,Pan-India,30:21.0
SCM1062,Saubhagya Yojana,2021,Entrepreneurship,Madhya Pradesh,Merged,Pan-India,30:21.0
SCM1063,Sarva Shiksha Abhiyan,2019,Employment,Maharashtra,Merged,State-level,30:21.1
SCM1064,Stand Up India,1997,Education,Uttar Pradesh,Inactive,Pan-India,30:21.1
SCM1065,Saubhagya Yojana,2010,Health,West Bengal,Active,Pan-India,30:21.0
SCM1066,Swachh Bharat Abhiyan,2011,Education,Rajasthan,Revamped,State-level,30:21.1
SCM1067,Stand Up India,2007,Women Empowerment,Telangana,Merged,Local,30:21.1
SCM1068,Saubhagya Yojana,1991,Women Empowerment,Bihar,Active,Local,30:21.0
SCM1069,Pradhan Mantri Awas Yojana,1998,Manufacturing,Karnataka,Active,Pan-India,30:21.1
SCM1070,Digital India,1992,Manufacturing,Tamil Nadu,Active,State-level,30:21.1
SCM1071,Swachh Bharat Abhiyan,2015,Technology,Telangana,Merged,State-level,30:21.1
SCM1072,Pradhan Mantri Awas Yojana,2010,Education,Maharashtra,Inactive,State-level,30:21.1
SCM1073,Ujjwala Yojana,2019,Women Empowerment,Maharashtra,Active,Pan-India,30:21.0
SCM1074,Beti Bachao Beti Padhao,2017,Education,Maharashtra,Active,State-level,30:21.0
SCM1075,Smart Cities Mission,2015,Technology,Tamil Nadu,Active,Pan-India,30:21.0
SCM1076,National Health Mission,2023,Manufacturing,Bihar,Revamped,Local,30:21.1
SCM1077,Beti Bachao Beti Padhao,1997,Women Empowerment,Madhya Pradesh,Active,Local,30:21.0
SCM1078,Ayushman Bharat,1999,,Tamil Nadu,Active,Pan-India,30:21.1
SCM1079,Ayushman Bharat,2003,Women Empowerment,Madhya Pradesh,Inactive,Local,30:21.0
SCM1080,Pradhan Mantri Awas Yojana,2004,Housing,Rajasthan,Active,State-level,30:21.0
SCM1081,Make in India,2006,Housing,Gujarat,Active,Pan-India,30:21.0
SCM1082,Jan Dhan Yojana,2007,Health,Telangana,Merged,State-level,30:21.1
SCM1083,Digital India,2021,Employment,Uttar Pradesh,Inactive,Local,30:21.1
,Swachh Bharat Abhiyan,2012,Manufacturing,Karnataka,Active,State-level,30:21.1
